wh_goals_rolling,opp_defense_rolling,wh_vs_opp_defense
1.0,1.0,0.5
2.0,1.0,1.0
2.3333333333333335,1.0,1.1666666666666667
2.25,1.0,1.125
2.0,1.4,0.8333333333333334
2.0,1.8,0.7142857142857143
1.8,1.6,0.6923076923076923
1.6,1.8,0.5714285714285715
1.4,2.4,0.4117647058823529
1.2,2.0,0.39999999999999997
1.4,2.0,0.4666666666666666
1.6,2.4,0.4705882352941177
1.6,2.2,0.5
1.6,1.6,0.6153846153846154
2.0,1.6,0.7692307692307692
1.6,2.0,0.5333333333333333
1.6,1.6,0.6153846153846154
1.6,1.4,0.6666666666666667
1.8,1.2,0.8181818181818181
1.4,1.0,0.7
1.8,0.4,1.2857142857142858
1.4,0.6,0.8749999999999999
1.0,1.2,0.45454545454545453
0.6,2.4,0.17647058823529413
0.6,2.8,0.15789473684210525
1.0,2.8,0.2631578947368421
1.4,2.8,0.3684210526315789
1.8,2.6,0.5
2.0,1.6,0.7692307692307692
2.6,2.0,0.8666666666666667
2.0,1.8,0.7142857142857143
1.8,1.8,0.6428571428571429
1.4,1.8,0.5
1.6,2.6,0.4444444444444445
1.4,2.2,0.43749999999999994
1.2,3.0,0.3
1.4,3.0,0.35
