date,home_team,away_team,home_goals,away_goals,winner
2023-08-12T14:00:00Z,AFC Bournemouth,West Ham United FC,1,1,DRAW
2023-08-20T15:30:00Z,West Ham United FC,Chelsea FC,3,1,HOME_TEAM
2023-08-26T16:30:00Z,Brighton & Hove Albion FC,West Ham United FC,1,3,AWAY_TEAM
2023-09-01T19:00:00Z,Luton Town FC,West Ham United FC,1,2,AWAY_TEAM
2023-09-16T14:00:00Z,West Ham United FC,Manchester City FC,1,3,AWAY_TEAM
2023-09-24T13:00:00Z,Liverpool FC,West Ham United FC,3,1,HOME_TEAM
2023-09-30T14:00:00Z,West Ham United FC,Sheffield United FC,2,0,HOME_TEAM
2023-10-08T13:00:00Z,West Ham United FC,Newcastle United FC,2,2,DRAW
2023-10-22T15:30:00Z,Aston Villa FC,West Ham United FC,4,1,HOME_TEAM
2023-10-29T13:00:00Z,West Ham United FC,Everton FC,0,1,AWAY_TEAM
2023-11-04T15:00:00Z,Brentford FC,West Ham United FC,3,2,HOME_TEAM
2023-11-12T14:00:00Z,West Ham United FC,Nottingham Forest FC,3,2,HOME_TEAM
2023-11-25T15:00:00Z,Burnley FC,West Ham United FC,1,2,AWAY_TEAM
2023-12-03T14:00:00Z,West Ham United FC,Crystal Palace FC,1,1,DRAW
2023-12-07T20:15:00Z,Tottenham Hotspur FC,West Ham United FC,1,2,AWAY_TEAM
2023-12-10T14:00:00Z,Fulham FC,West Ham United FC,5,0,HOME_TEAM
2023-12-17T14:00:00Z,West Ham United FC,Wolverhampton Wanderers FC,3,0,HOME_TEAM
2023-12-23T12:30:00Z,West Ham United FC,Manchester United FC,2,0,HOME_TEAM
2023-12-28T20:15:00Z,Arsenal FC,West Ham United FC,0,2,AWAY_TEAM
2024-01-02T19:30:00Z,West Ham United FC,Brighton & Hove Albion FC,0,0,DRAW
2024-01-21T14:00:00Z,Sheffield United FC,West Ham United FC,2,2,DRAW
2024-02-01T19:30:00Z,West Ham United FC,AFC Bournemouth,1,1,DRAW
2024-02-04T14:00:00Z,Manchester United FC,West Ham United FC,3,0,HOME_TEAM
2024-02-11T14:00:00Z,West Ham United FC,Arsenal FC,0,6,AWAY_TEAM
2024-02-17T15:00:00Z,Nottingham Forest FC,West Ham United FC,2,0,HOME_TEAM
2024-02-26T20:00:00Z,West Ham United FC,Brentford FC,4,2,HOME_TEAM
2024-03-02T15:00:00Z,Everton FC,West Ham United FC,1,3,AWAY_TEAM
2024-03-10T14:00:00Z,West Ham United FC,Burnley FC,2,2,DRAW
2024-03-17T14:00:00Z,West Ham United FC,Aston Villa FC,1,1,DRAW
2024-03-30T12:30:00Z,Newcastle United FC,West Ham United FC,4,3,HOME_TEAM
2024-04-02T19:15:00Z,West Ham United FC,Tottenham Hotspur FC,1,1,DRAW
2024-04-06T14:00:00Z,Wolverhampton Wanderers FC,West Ham United FC,1,2,AWAY_TEAM
2024-04-14T13:00:00Z,West Ham United FC,Fulham FC,0,2,AWAY_TEAM
2024-04-21T14:00:00Z,Crystal Palace FC,West Ham United FC,5,2,HOME_TEAM
2024-04-27T11:30:00Z,West Ham United FC,Liverpool FC,2,2,DRAW
2024-05-05T13:00:00Z,Chelsea FC,West Ham United FC,5,0,HOME_TEAM
2024-05-11T14:00:00Z,West Ham United FC,Luton Town FC,3,1,HOME_TEAM
2024-05-19T15:00:00Z,Manchester City FC,West Ham United FC,3,1,HOME_TEAM
